Date,AMZN,AAPL,MSFT
2022-07-05,107.599998,137.770004,256.160004
2022-07-06,113.209999,141.350006,263.75
2022-07-07,113.849998,143.289993,265.119995
2022-07-08,114.599998,145.259995,264.790009
2022-07-11,114.080002,145.669998,265.649994
2022-07-12,112.160004,145.759995,265.880005
2022-07-13,107.029999,142.990005,250.190002
2022-07-14,110.239998,144.080002,250.570007
2022-07-15,112.5,149.779999,255.720001
2022-07-18,115,150.740005,259.75
2022-07-19,115.699997,147.919998,257.579987
2022-07-20,118.620003,151.119995,259.899994
2022-07-21,123.199997,154.5,259.790009
2022-07-22,125.010002,155.389999,265.23999
2022-07-25,122.699997,154.009995,261
2022-07-26,115.790001,152.259995,259.859985
2022-07-27,117.309998,152.580002,261.160004
2022-07-28,121.57,156.979996,269.75
2022-07-29,134.899994,161.240005,277.700012
2022-08-01,134.960007,161.009995,277.820007
2022-08-02,134.720001,160.100006,276
2022-08-03,136.210007,160.839996,276.76001
2022-08-04,140.580002,166.009995,281.799988
2022-08-05,140.100006,163.210007,279.149994
2022-08-08,142.050003,166.369995,284.049988
2022-08-09,138.050003,164.020004,279.640015
2022-08-10,142.899994,167.679993,288.170013
2022-08-11,143.860001,170.059998,290.850006
2022-08-12,142.050003,169.820007,288.480011
2022-08-15,142.800003,171.520004,291
2022-08-16,143.910004,172.779999,291.98999
2022-08-17,142.690002,172.770004,289.73999
2022-08-18,141.320007,173.75,290.190002
2022-08-19,140.470001,173.029999,288.899994
2022-08-22,135.720001,169.690002,282.079987
2022-08-23,133.410004,167.080002,276.440002
2022-08-24,132.75,167.320007,275.410004
2022-08-25,135.259995,168.779999,277.329987
2022-08-26,136.550003,170.570007,279.079987
2022-08-29,129.899994,161.149994,265.850006
2022-08-30,131.25,162.130005,266.670013
2022-08-31,129.449997,160.309998,265.390015
2022-09-01,126,156.639999,258.869995
2022-09-02,129.5,159.75,261.700012
2022-09-06,127.919998,156.470001,256.200012
2022-09-07,126.120003,154.820007,254.699997
2022-09-08,127.720001,154.639999,257.51001
2022-09-09,130.910004,155.470001,260.5
2022-09-12,134.100006,159.589996,265.779999
2022-09-13,131.009995,159.899994,258.839996
2022-09-14,127.360001,154.789993,253.529999
2022-09-15,127.379997,154.649994,249.770004
2022-09-16,122.779999,151.210007,244.259995
2022-09-19,122.160004,149.309998,242.470001
2022-09-20,123.349998,153.399994,242.070007
2022-09-21,122.489998,157.339996,244.270004
2022-09-22,117.080002,152.380005,237.869995
2022-09-23,116,151.190002,239.539993
2022-09-26,113.300003,149.660004,237.050003
2022-09-27,117.199997,152.740005,239.979996
2022-09-28,114.379997,147.639999,236.809998
2022-09-29,115.599998,146.100006,238.889999
2022-09-30,114.080002,141.279999,238.289993
2022-10-03,113.580002,138.210007,235.410004
2022-10-04,119.889999,145.029999,245.089996
2022-10-05,118.580002,144.070007,245.990005
2022-10-06,120.769997,145.809998,247.929993
2022-10-07,118,142.539993,240.899994
2022-10-10,115.099998,140.419998,233.050003
2022-10-11,112.709999,139.899994,227.619995
2022-10-12,112.489998,139.130005,225.399994
2022-10-13,107.879997,134.990005,219.850006
2022-10-14,114.099998,144.309998,235.539993
2022-10-17,110.110001,141.070007,235.820007
2022-10-18,119.059998,145.490005,243.240005
2022-10-19,114.709999,141.690002,237.039993
2022-10-20,113.830002,143.020004,235.770004
2022-10-21,114.790001,142.869995,234.740005
2022-10-24,119.980003,147.190002,243.759995
2022-10-25,119.650002,150.089996,247.259995
2022-10-26,116,150.960007,231.169998
2022-10-27,113.919998,148.070007,231.039993
2022-10-28,97.910004,148.199997,226.240005
2022-10-31,103.559998,153.160004,233.759995
2022-11-01,103.989998,155.080002,234.600006
2022-11-02,97.32,148.949997,229.460007
2022-11-03,92.470001,142.059998,220.089996
2022-11-04,91.489998,142.089996,217.550003
2022-11-07,91.949997,137.110001,221.990005
2022-11-08,90.790001,140.410004,228.699997
2022-11-09,89.470001,138.5,227.369995
2022-11-10,92.940002,141.240005,235.429993
2022-11-11,97.879997,145.820007,242.990005
2022-11-14,98.769997,148.970001,241.990005
2022-11-15,103.209999,152.220001,245.660004
2022-11-16,96.849998,149.130005,242.789993
2022-11-17,95.370003,146.429993,237.779999
2022-11-18,95.949997,152.309998,243.509995
2022-11-21,93.970001,150.160004,241.429993
2022-11-22,92.620003,148.130005,243.589996
2022-11-23,93.239998,149.449997,245.110001
2022-11-25,93.790001,148.309998,247.309998
2022-11-28,93.93,145.139999,246.080002
2022-11-29,94.040001,144.289993,241.399994
2022-11-30,92.470001,141.399994,240.570007
2022-12-01,96.989998,148.210007,253.869995
